ID,Name,Category,Price,Quantity,Supplier,Date,Status
1001,Laptop X3,Electronics,1299.99,25,TechCorp,2023-01-15,In Stock
1002,Smartphone Pro,Electronics,899.99,42,PhoneTech,2023-01-16,In Stock
1003,Wireless Headphones,Audio,129.99,38,AudioWorld,2023-01-17,In Stock
1004,Ergonomic Keyboard,Accessories,89.99,15,OfficeSupply,2023-01-18,Low Stock
1005,4K Monitor,Electronics,349.99,10,TechCorp,2023-01-19,Low Stock
1006,USB-C Hub,Accessories,45.99,30,AccessoryHub,2023-01-20,In Stock
1007,External SSD,Storage,159.99,20,DataStore,2023-01-21,In Stock
1008,Wireless Mouse,Accessories,29.99,50,OfficeSupply,2023-01-22,In Stock
1009,Standing Desk,Furniture,299.99,5,OfficeSpace,2023-01-23,Low Stock
1010,Office Chair,Furniture,199.99,8,OfficeSpace,2023-01-24,In Stock
1011,Network Router,Networking,129.99,12,NetConnect,2023-01-25,In Stock
1012,Smart Speaker,Audio,79.99,30,AudioWorld,2023-01-26,In Stock
1013,Tablet Mini,Electronics,399.99,18,TechCorp,2023-01-27,In Stock
1014,Laser Printer,Office,249.99,7,OfficeSupply,2023-01-28,Low Stock
1015,Ink Cartridges,Office,34.99,45,OfficeSupply,2023-01-29,In Stock
1016,Webcam HD,Accessories,69.99,22,TechCorp,2023-01-30,In Stock
1017,Bluetooth Speaker,Audio,49.99,35,AudioWorld,2023-01-31,In Stock
1018,Portable Charger,Accessories,39.99,40,AccessoryHub,2023-02-01,In Stock
1019,Docking Station,Accessories,149.99,15,TechCorp,2023-02-02,In Stock
1020,Wireless Earbuds,Audio,89.99,28,AudioWorld,2023-02-03,In Stock
1021,Smart Watch,Wearables,199.99,20,TechCorp,2023-02-04,In Stock
1022,Gaming Mouse,Gaming,59.99,32,GameZone,2023-02-05,In Stock
1023,Mechanical Keyboard,Gaming,129.99,18,GameZone,2023-02-06,In Stock
1024,HDMI Cable,Accessories,14.99,60,AccessoryHub,2023-02-07,In Stock
1025,USB Drive,Storage,19.99,75,DataStore,2023-02-08,In Stock
1026,External Hard Drive,Storage,89.99,22,DataStore,2023-02-09,In Stock
1027,Laptop Stand,Accessories,29.99,25,OfficeSupply,2023-02-10,In Stock
1028,Phone Stand,Accessories,15.99,40,AccessoryHub,2023-02-11,In Stock
1029,Touchscreen Gloves,Accessories,24.99,30,WinterGear,2023-02-12,Seasonal
1030,Desk Lamp,Office,39.99,18,OfficeSupply,2023-02-13,In Stock
1031,Paper Shredder,Office,79.99,10,OfficeSupply,2023-02-14,In Stock
1032,Wi-Fi Extender,Networking,59.99,15,NetConnect,2023-02-15,In Stock
1033,Mesh WiFi System,Networking,299.99,8,NetConnect,2023-02-16,In Stock
1034,Smart Thermostat,Smart Home,179.99,12,SmartLiving,2023-02-17,In Stock
1035,Smart Doorbell,Smart Home,149.99,15,SmartLiving,2023-02-18,In Stock
1036,Security Camera,Smart Home,129.99,20,SmartLiving,2023-02-19,In Stock
1037,Charging Cable,Accessories,9.99,100,AccessoryHub,2023-02-20,In Stock
1038,Wall Charger,Accessories,24.99,60,AccessoryHub,2023-02-21,In Stock
1039,Screen Protector,Accessories,12.99,80,AccessoryHub,2023-02-22,In Stock
1040,Phone Case,Accessories,19.99,90,AccessoryHub,2023-02-23,In Stock
1041,Laptop Sleeve,Accessories,29.99,35,AccessoryHub,2023-02-24,In Stock
1042,Wireless Charging Pad,Accessories,34.99,25,TechCorp,2023-02-25,In Stock
1043,Keyboard Wrist Rest,Ergonomics,19.99,30,OfficeSupply,2023-02-26,In Stock
1044,Mouse Pad,Accessories,8.99,75,OfficeSupply,2023-02-27,In Stock
1045,Monitor Stand,Ergonomics,49.99,20,OfficeSupply,2023-02-28,In Stock
1046,Cable Management Kit,Accessories,14.99,40,OfficeSupply,2023-03-01,In Stock
1047,Document Camera,Education,199.99,8,EduTech,2023-03-02,Low Stock
1048,Graphics Tablet,Creative,159.99,15,ArtTech,2023-03-03,In Stock
1049,3D Printer,Creative,599.99,5,MakerSpace,2023-03-04,Low Stock
1050,VR Headset,Gaming,499.99,10,GameZone,2023-03-05,In Stock 